,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
253,06-10,1106,1367,1800,3048,455,15,28,161,0,446,120
254,06-89,1145,756,1075,1761,637,237,10,33,2,286,10
255,06.1,735,201,542,1195,74,3,19,43,0,139,5
256,060,1526,86,432,163,1579,6,20,82,0,184,10
257,0601,1726,2167,1818,4091,1123,8,14,108,0,348,19
258,061,2168,1286,1613,2832,1273,11,36,229,0,586,100
259,062,1883,1104,1408,2004,1446,16,38,214,1,535,141
260,063,3564,2495,2897,4541,2522,23,86,475,0,1143,166
261,064,2226,2319,2458,4675,1075,19,50,213,0,838,133
262,065,1545,2111,1965,4294,559,12,27,155,1,496,77
263,066,1112,1550,1581,3261,340,12,29,119,0,432,50
264,067,1081,1284,1359,2770,402,5,13,89,1,416,28
265,068,1629,1659,1825,3220,1062,14,37,131,1,602,46
266,069,1113,1660,1715,3611,235,8,13,119,0,372,130
267,06A,1025,1657,1408,3481,136,1,6,40,0,420,6
268,06B,1545,1227,1702,2013,1419,54,50,351,3,519,65
269,06E,923,636,749,1329,599,15,20,57,0,273,15
270,06N,1212,421,749,961,917,12,21,112,0,349,10
271,06S,1059,1022,996,1961,618,2,26,70,0,367,33
272,06W,473,263,363,569,302,0,8,70,0,142,8
273,07,12548,12791,12318,25882,6253,618,220,627,2,3727,328
274,07 BRU,122,128,148,352,0,1,1,3,0,41,0
275,07-00,138,689,358,1053,5,2,0,9,0,109,7
276,07-01,837,366,762,1234,342,2,27,79,0,256,25
277,07-02,636,487,662,1268,207,4,14,59,0,194,39
278,07-03,596,423,666,1371,111,2,10,25,0,148,18
279,07-04,1845,815,1885,2939,750,9,33,147,0,615,52
280,07-05,778,480,749,1415,292,2,10,60,0,212,16
281,07-06,1235,1145,1498,3154,209,4,17,85,0,349,60
282,07-07,1290,970,1635,2842,375,1,21,144,0,442,70
283,07-07A,306,190,141,611,3,0,2,2,0,17,2
284,07-09,1373,802,1541,2470,449,12,37,110,0,551,87
285,07-10,2241,1185,2394,3679,829,16,40,215,0,906,135
286,07-11,426,321,470,1050,37,1,4,32,0,79,14
287,07-12,1299,642,1163,2024,497,6,19,95,0,424,39
288,07-13,934,568,903,1611,364,2,16,64,0,308,40
289,07.1,1007,132,767,1519,142,4,11,39,1,182,8
290,070,540,848,961,2117,39,2,5,36,0,123,27
